Route;1999/00;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13
25;10085060;11348007;12320822;14302139;17119099;21057007;22053873;22368234;22830950;23128928;23170101;23301504;23000069;23415401
18;8383642;9828572;10628128;12529260;14100375;15623555;15934531;16161666;16495991;16711288;16741037;16874721;17686579;17153879
29;10547611;11575323;12324516;13344498;15661574;16991637;16880308;14328922;14625335;14816217;14842592;14926768;15702341;16873388
149;12035990;12921115;13725659;14249299;15792034;15211949;14855799;15067557;15379249;15579971;15607706;15320187;14883534;14612975
38;9593947;9593238;9049692;10460021;12299236;10968691;13970156;17860498;18229966;18467894;17469872;15253720;14858555;13503949
207;13428176;15004149;16385204;17853730;18636428;19608108;12262472;12301062;12555526;12719394;12742036;12814299;13167290;13464401
5;4052711;4669430;4926340;5315092;5997506;6602949;7146867;10399870;10917273;11479094;11420785;11842198;11950929;12586353
73;13473811;13721932;13430215;14273606;13420399;14587981;14567091;14774734;15080369;15277190;15304386;15391181;13876830;12533557
86;6066669;7082145;7389035;9027039;10024444;10522857;10366767;10238382;11380954;12173351;12610831;13009000;13049244;12120474
243;5437096;7482170;8721795;9329349;11680885;12240784;12832657;12101172;12660016;12440229;12157919;12305833;12571981;12066250
83;6165520;6807482;6835523;8004210;9143726;9884839;10366855;10156428;10350065;10631382;10832776;11910257;12391569;11822923
279;9521451;10113131;10603721;11946953;12883235;10759484;9937425;9778104;9868982;10227220;11275805;11386623;11788799;11691844
43;8001808;8504095;8687985;9379439;10094868;9560668;9614324;10392788;10930463;11495263;11251236;11119756;11475474;11668439
12;11665762;12485642;12434147;12533009;12221335;11449800;12227092;12401380;12657919;12823124;12845951;12918803;12457593;11351159
53;11738770;12627607;12478470;12546226;10375252;11061025;10885280;10517930;10961655;10479457;11311779;11207246;11708946;11227319
140;6215772;6925057;6925506;6936226;7274275;8426839;9052804;8849001;8971919;9527624;9933113;10374578;11074280;11137900
254;0;0;0;0;9716326;11763024;11636018;11498182;11414517;11819482;11901865;12064595;11809226;11011421
253;17710211;18709402;17866056;18652587;12409485;11529472;11503209;11458869;11564194;11793249;11654548;11416251;11574339;10729524
109;7990387;7545793;7501021;8236492;8414670;8761583;9116794;9030434;9273835;9355518;10047676;10412616;10752436;10526734
36;12880025;14130617;14987924;14214967;9298166;8672096;11081160;10406930;10563878;12098359;11896470;11779322;11583231;10501251
436;0;0;0;1427240;11334570;11936524;11765731;11933443;12180302;12339273;12361239;12431342;11815595;10314014
345;6838026;7042790;7235676;9098375;9992256;9856717;9783864;9139127;8981513;9494875;8905401;9096873;9236451;9753957
159;5039152;4951338;5370657;5721924;5930848;5928484;7243389;9204469;8959024;8725552;9059513;9825126;9736153;9720210
266;7146086;7708127;8382590;8394037;8706071;8970534;9222764;9952823;9685432;10017780;9575750;9512240;10231236;9455740
133;8554715;9003469;9708415;9992923;9185877;9493638;10131237;9338627;9342533;9284184;9155962;9280096;8977372;9231355
141;3833035;4024173;3954489;6117798;6651416;7486819;8090214;8951029;9035489;9697534;9813943;9392959;8599165;9178080
69;5219546;5908727;6162477;6776821;7097990;7582132;7905327;8657212;9262879;9691670;9132024;9280807;9402901;9131298
2;7042731;7268204;7224956;7967334;7932349;9387325;9007037;9017839;9133847;9285234;9651714;9492988;9724925;9128465
63;6912667;6957821;7066519;7624693;6957725;7729928;7785376;7634123;7931833;8681879;8814572;8915356;9037356;9116702
94;5464929;5746546;6455980;6988477;8214121;11601394;12156888;11691043;10578221;10395766;9811296;9520441;9243582;8937859
134;4950236;6362723;7420331;7746164;9279736;10178461;9531923;9194529;8929636;8862075;8979462;8808750;9188032;8766428
55;4552062;4999040;5910365;6469088;8134119;8460876;8642434;8178376;8511324;8756750;9117520;9249451;9211742;8756726
453;0;0;0;400720;10143764;10682476;9026351;9155014;9344398;9466356;9483208;9536989;9274867;8728518
259;4434953;4744731;4977631;5437056;5120493;6597096;8168609;7250040;7621696;7990073;7697945;8181926;8659280;8720520
14;5343589;5869117;6046766;6510207;7162510;6351599;8422446;9041124;9505392;9637796;9345362;9212350;8927750;8662645
57;6230488;6306512;6292888;6653600;8340178;8878807;9018656;8747161;8368040;8739995;8654658;8445240;8762503;8636834
182;4832113;5710663;5792491;5777037;6191202;6779891;7388677;7265981;7808824;8436573;8618732;8881403;8874427;8626065
205;0;0;0;2485233;5304425;5770017;6260329;5709008;7231248;8166282;9234046;10068938;9138686;8618989
250;4841933;4888345;5588522;6509860;7086015;8050001;8275883;8142296;7991719;8114799;8131504;8335739;8743431;8602832
468;6304948;6659212;6833878;7467067;7560090;8176782;7743064;7695513;7820356;8382674;8378001;8537691;8878656;8559735
35;7100188;7490776;8097049;8427331;9162733;9119209;9049879;8343896;8187923;8407953;8537756;8704410;8631627;8541277
W3;5051029;5809604;5372990;5889918;6380270;6918635;7277389;7268519;7284276;7750092;7905214;8553365;8366469;8490348
41;5431929;5678403;6109925;6738266;7470125;7892241;7971989;7800253;7862206;8220703;8191589;8198763;8565509;8313107
21;3201659;3315912;3387633;4501564;5472227;5853745;6443928;7658369;7695494;7881987;8184148;8493389;8243450;8306700
93;4521452;4916494;5198322;6209491;6350693;6711826;6949564;6945177;7466376;7821421;7855382;7925715;8341007;8230076
58;4783538;5072186;5140477;5779101;6165754;6403879;6439579;6716194;6619431;6961556;7002471;8249773;8766510;8200348
171;6187697;6830540;7240112;8055833;7977187;7831626;7843249;7956256;8254768;8503804;8328848;8192730;8492005;8085713
188;4554679;5021775;5227726;5491557;7449377;7419516;7743438;7368218;7319800;8143985;8346294;8116271;7790576;8078534
