Network-wide;Mois;Bus;London Underground / Docklands Light Railway;London Overground;London Tramlink
Network-wide FY2011/12;avril;9,7;10,0;6,6;21,8
Network-wide FY2011/12;mai;10,0;11,8;7,4;15,3
Network-wide FY2011/12;juin;9,8;11,3;7,7;13,9
Network-wide FY2011/12;juillet;9,6;10,8;9,0;15,6
Network-wide FY2011/12;août;8,7;10,3;9,5;16,6
Network-wide FY2011/12;septembre;8,0;8,8;12,7;10,4
Network-wide FY2011/12;octobre;9,1;9,4;6,7;8,8
Network-wide FY2011/12;novembre;9,6;9,0;7,6;10,5
Network-wide FY2011/12;décembre;9,1;9,1;7,1;14,0
Network-wide FY2011/12;janvier;9,1;9,3;5,9;7,6
Network-wide FY2011/12;février;8,9;9,9;7,8;8,5
Network-wide FY2011/12;mars;9,4;9,4;8,1;13,5
Network-wide FY2012/13;avril;8,9;9,1;7,1;8,3
Network-wide FY2012/13;mai;8,5;9,9;7,2;17,5
Network-wide FY2012/13;juin;8,8;10,1;8,2;14,7
Network-wide FY2012/13;juillet;9,1;10,4;7,6;13,4
Network-wide FY2012/13;août;8,7;7,9;8,7;12,3
Network-wide FY2012/13;septembre;7,3;8,1;9,4;8,0
Network-wide FY2012/13;octobre;8,6;9,8;8,7;12,7
Network-wide FY2012/13;novembre;9,0;11,4;9,0;11,9
Network-wide FY2012/13;décembre;9,5;10,0;7,5;12,9
Network-wide FY2012/13;janvier;8,3;10,5;6,9;11,8
Network-wide FY2012/13;février;8,7;9,8;6,4;9,1
Network-wide FY2012/13;mars;8,2;11,0;5,6;8,9
Network-wide FY2013/14;avril;8,2;9,2;6,6;16,1
Network-wide FY2013/14;mai;7,8;8,3;7,9;13,6
Network-wide FY2013/14;juin;7,8;8,6;7,1;11,3
Network-wide FY2013/14;juillet;7,9;8,6;6,5;12,6
Network-wide FY2013/14;août;8,6;9,1;4,3;12,8
Network-wide FY2013/14;septembre;7,6;7,8;5,8;8,3
Network-wide FY2013/14;octobre;7,9;7,5;7,1;11,8
Network-wide FY2013/14;novembre;7,3;7,1;6,2;6,8
Network-wide FY2013/14;décembre;7,1;7,7;6,5;8,4
Network-wide FY2013/14;janvier;6,9;8,6;7,4;8,0
Network-wide FY2013/14;février;7,2;8,3;6,9;9,1
Network-wide FY2013/14;mars;6,8;7,7;7,1;4,2
Network-wide FY2014/15;avril;6,8;7,0;7,3;5,6
Network-wide FY2014/15;mai;6,6;6,5;8,4;5,4
Network-wide FY2014/15;juin;6,9;7,3;6,7;5,3
Network-wide FY2014/15;juillet;6,8;7,0;6,5;7,2
Network-wide FY2014/15;août;6,6;6,9;5,9;3,3
Network-wide FY2014/15;septembre;7,4;6,8;7,1;2,9
Network-wide FY2014/15;octobre;7,4;7,0;4,4;7,2
Network-wide FY2014/15;novembre;7,4;6,8;5,3;8,2
Network-wide FY2014/15;décembre;8,0;7,7;4,9;6,7
Network-wide FY2014/15;janvier;7,9;6,9;6,1;8,8
Network-wide FY2014/15;février;7,6;6,3;6,1;9,0
Network-wide FY2014/15;mars;7,7;7,1;4,6;10,8
Network-wide FY2015/16;avril;7,2;6,9;5,6;9,3
Network-wide FY2015/16;mai;7,1;7,0;4,9;12,2
Network-wide FY2015/16;juin;7,3;6,8;6,8;9,9
Network-wide FY2015/16;juillet;7,6;6,8;4,9;6,6
Network-wide FY2015/16;août;7,9;7,6;7,8;6,8
Network-wide FY2015/16;septembre;6,9;6,6;6,7;7,3
Network-wide FY2015/16;octobre;7,6;6,8;7,3;8,2
Network-wide FY2015/16;novembre;8,3;8,2;6,6;10,4
Network-wide FY2015/16;décembre;8,3;8,2;7,3;8,8
Network-wide FY2015/16;janvier;7,5;9,2;7,0;14,5
Network-wide FY2015/16;février;7,7;7,4;6,5;7,1
Network-wide FY2015/16;mars;7,2;9,0;6,9;13,6
Network-wide FY2016/17;avril;7,1;6,4;4,6;8,8
Network-wide FY2016/17;mai;7,7;7,3;4,7;10,6
Network-wide FY2016/17;juin;8,1;7,1;6,1;9,7
Network-wide FY2016/17;juillet;7,9;7,1;6,9;5,4
Network-wide FY2016/17;août;8,3;8,7;7,2;5,9
Network-wide FY2016/17;septembre;7,3;6,9;7,0;4,6
Network-wide FY2016/17;octobre;7,6;7,3;5,6;8,2
Network-wide FY2016/17;novembre;7,3;9,7;5,8;7,9
Network-wide FY2016/17;décembre;7,8;8,5;5,1;9,0
