Height restriction (m);Height restriction (imperial);Easting;Northing;Grid Reference;Lat;Lng;Borough;Road name
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";549062;183214;TQ4906283214;51,528168;0,147455;Barking and Dagenham;Chequers Lane
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";528611;184683;TQ2861184683;51,546393;-0,14664731;Camden;Prince Of Wales Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";515399;183904;TQ1539983904;51,542246;-0,33734636;Ealing;Green Park Way
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";515422;183895;TQ1542283895;51,54216;-0,3370178;Ealing;Green Park Way
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";520659;180322;TQ2065980322;51,508954;-0,26275982;Ealing;Churchfield Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";536317;197080;TQ3631797080;51,655986;-0,030771008;Enfield;Green Street
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";536427;198773;TQ3642798773;51,671172;-0,028521537;Enfield;Ordnance Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";526311;176665;TQ2631176665;51,474855;-0,18266802;Hammersmith and Fulham;Townmead Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";552130;182000;TQ5213082000;51,516442;0,19112452;Havering;Ferry Lane
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";530898;179642;TQ3089879642;51,500567;-0,11555583;Lambeth;Westminster Bridge Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";544298;182952;TQ4429882952;51,52705;0,078720308;Newham;Jenkins Lane
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";546587;176056;TQ4658776056;51,464498;0,10883119;Bexley;Upper Wickham Lane
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";552986;175332;TQ5298675332;51,456301;0,20056477;Bexley;Thames Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";552994;175318;TQ5299475318;51,456173;0,20067378;Bexley;Thames Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";515535;180539;TQ1553580539;51,511974;-0,33648872;Ealing;Church Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";531750;195440;TQ3175095440;51,642336;-0,097369788;Enfield;Vera Avenue
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";534795;183511;TQ3479583511;51,534419;-0,057967854;Hackney;Andrews Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";512169;189503;TQ1216989503;51,593219;-0,38211726;Harrow;Marsh Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";513575;188586;TQ1357588586;51,584696;-0,36212545;Harrow;Station Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";510134;185942;TQ1013485942;51,561614;-0,41259784;Hillingdon;West End Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";510145;185906;TQ1014585906;51,561288;-0,41245048;Hillingdon;West End Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";538147;175125;TQ3814775125;51,458253;-0,012950966;Lewisham;Lewisham High Street
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";538245;175911;TQ3824575911;51,465292;-0,011234257;Lewisham;Lewisham Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";531865;180058;TQ3186580058;51,50408;-0,10147717;Southwark;Great Suffolk Street
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";531862;180083;TQ3186280083;51,504306;-0,10151103;Southwark;Great Suffolk Street
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";533232;179901;TQ3323279901;51,502349;-0,081852447;Southwark;Shand Street
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";533382;179868;TQ3338279868;51,502017;-0,079705093;Southwark;Whites Grounds
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";533265;179961;TQ3326579961;51,502881;-0,081354639;Southwark;Shand Street
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";532198;180069;TQ3219880069;51,504102;-0,09667802;Southwark;Great Guildford Street
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";532188;180096;TQ3218880096;51,504347;-0,096811906;Southwark;Great Guildford Street
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";535397;182540;TQ3539782540;51,52555;-0,049666792;Tower Hamlets;Globe Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";534916;182459;TQ3491682459;51,524937;-0,056627026;Tower Hamlets;Coventry Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";526956;176321;TQ2695676321;51,471619;-0,17350936;Wandsworth;Battersea High Street
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";527289;175677;TQ2728975677;51,465757;-0,16894925;Wandsworth;Falcon Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";527335;175585;TQ2733575585;51,46492;-0,16832051;Wandsworth;Falcon Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";524814;187611;TQ2481487611;51,573559;-0,20033727;Barnet;Golders Green Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";521270;191993;TQ2127091993;51,613713;-0,24993797;Barnet;The Broadway
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";521287;191995;TQ2128791995;51,613727;-0,24969188;Barnet;The Broadway
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";527292;189157;TQ2729289157;51,586899;-0,16403959;Barnet;Great North Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";527285;189135;TQ2728589135;51,586703;-0,16414854;Barnet;Great North Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";525630;192095;TQ2563092095;51,613675;-0,18696491;Barnet;Argyle Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";521283;192001;TQ2128392001;51,613782;-0,24974754;Barnet;The Broadway
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";521274;191987;TQ2127491987;51,613658;-0,2498823;Barnet;The Broadway
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";527299;189119;TQ2729989119;51,586556;-0,16395238;Barnet;Great North Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";527279;189173;TQ2727989173;51,587045;-0,16422134;Barnet;Great North Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";526723;195436;TQ2672395436;51,643454;-0,16997984;Barnet;Longmore Avenue
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";526696;195437;TQ2669695437;51,643469;-0,17036948;Barnet;Longmore Avenue
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";522702;187356;TQ2270287356;51,57173;-0,23088649;Barnet;Staples Corner gyratory
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";522729;187363;TQ2272987363;51,571787;-0,23049466;Barnet;Staples Corner gyratory
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";522706;187372;TQ2270687372;51,571873;-0,23082322;Barnet;Adrian Avenue
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";521922;191370;TQ2192291370;51,607973;-0,24074261;Barnet;Bunns Lane
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";521935;191361;TQ2193591361;51,60789;-0,2405581;Barnet;Bunns Lane
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";551015;176172;TQ5101576172;51,464377;0,17257631;Bexley;Parkside Cross
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";518046;183769;TQ1804683769;51,540485;-0,29923989;Brent;Ealing Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";518590;187266;TQ1859087266;51,5718;-0,29022134;Brent;The Avenue
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";524780;184464;TQ2478084464;51,545284;-0,20194344;Brent;Kilburn High Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";523437;186253;TQ2343786253;51,561657;-0,22067345;Brent;Edgware Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";518853;189735;TQ1885389735;51,593935;-0,28559332;Brent;Cumberland Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";519000;186592;TQ1900086592;51,565657;-0,28453619;Brent;Forty Avenue
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";519034;186609;TQ1903486609;51,565802;-0,28404014;Brent;Forty Avenue
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";517317;187752;TQ1731787752;51,576434;-0,30841907;Brent;Windermere Avenue
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";534993;170574;TQ3499370574;51,418116;-0,06005384;Bromley;High Street
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";529193;184184;TQ2919384184;51,541776;-0,13844185;Camden;Camden Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";529184;184208;TQ2918484208;51,541994;-0,13856276;Camden;Royal College Street
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";529203;184203;TQ2920384203;51,541944;-0,13829077;Camden;Camden Road
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";529200;184183;TQ2920084183;51,541765;-0,13834134;Camden;Royal College Street
Between 4.6 and 5.1;"Between 15'0"" and 16'6""";531499;181548;TQ3149981548;51,517556;-0,1061922;City of London;Shoe Lane
