LA Code;Local Authority;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
E09000001;City of London;156;158;160;163;165;167;167;163;155;148;143;147;141;138;134;126;121;119;117;113;111;114;115;110;105;101;101;76;84;78;77
E09000002;Barking and Dagenham;450;455;448;446;443;439;461;455;460;467;466;466;509;526;513;490;521;512;504;480;498;513;512;516;507;504;507;416;457;485;483
E09000003;Barnet;1319;1341;1332;1357;1376;1366;1396;1368;1389;1402;1406;1397;1406;1419;1397;1457;1432;1464;1393;1412;1413;1416;1405;1370;1402;1396;1421;1108;1246;1271;1292
E09000004;Bexley;729;739;730;750;758;763;775;801;817;816;821;853;858;832;824;823;832;809;795;788;772;786;791;803;805;797;814;666;749;773;778
E09000005;Brent;774;783;773;795;792;811;828;836;835;859;853;865;865;851;837;800;793;833;798;794;774;791;770;791;784;784;806;677;746;742;753
E09000006;Bromley;1087;1087;1082;1101;1107;1115;1120;1130;1164;1170;1175;1187;1185;1180;1165;1161;1158;1126;1130;1127;1135;1156;1160;1160;1155;1135;1180;940;1090;1117;1126
E09000007;Camden;503;505;506;503;500;502;506;486;477;470;464;446;436;430;427;417;419;399;394;376;375;379;377;371;368;359;355;279;311;316;313
E09000008;Croydon;1129;1141;1130;1137;1136;1141;1157;1150;1166;1170;1162;1140;1136;1139;1151;1123;1112;1080;1080;1064;1070;1082;1075;1077;1066;1062;1084;884;1012;1036;1052
E09000009;Ealing;1085;1095;1078;1095;1091;1089;1160;1156;1166;1173;1162;1154;1145;1123;1078;1104;1112;1084;1072;1028;1083;1053;1059;1046;1063;1057;1064;882;960;990;977
E09000010;Enfield;1158;1183;1183;1204;1224;1219;1244;1256;1213;1236;1274;1280;1259;1318;1312;1259;1288;1340;1237;1291;1238;1286;1319;1306;1304;1308;1328;1026;1194;1273;1296
E09000011;Greenwich;886;898;890;887;896;901;919;917;924;947;954;990;986;966;959;942;944;926;948;919;911;920;928;914;917;913;925;771;866;892;907
E09000012;Hackney;425;428;430;432;422;416;427;439;439;447;431;411;401;408;404;399;390;382;369;355;344;349;350;349;344;333;337;278;314;308;313
E09000013;Hammersmith and Fulham;471;471;476;483;466;467;469;472;478;480;467;467;445;447;441;428;430;421;405;380;388;381;382;386;380;387;389;291;331;346;342
E09000014;Haringey;506;509;509;511;509;509;515;505;499;496;492;477;474;472;471;449;434;425;425;417;415;421;421;417;413;416;424;333;376;376;377
E09000015;Harrow;516;523;520;526;528;537;548;549;556;589;577;573;571;570;565;565;557;538;545;552;544;547;542;540;535;529;546;421;493;511;518
E09000016;Havering;1091;1114;1119;1133;1146;1147;1196;1200;1190;1234;1154;1157;1197;1247;1222;1233;1282;1257;1231;1240;1271;1283;1267;1286;1297;1303;1333;1078;1197;1270;1296
E09000017;Hillingdon;1754;1787;1792;1824;1865;1920;1950;1950;1929;1973;1936;1932;1937;1926;1923;1967;2016;1898;1890;1932;1965;1998;1943;1975;1950;1980;2023;1561;1767;1840;1852
E09000018;Hounslow;1364;1387;1380;1408;1428;1440;1467;1440;1423;1437;1421;1451;1415;1441;1383;1399;1409;1367;1366;1356;1359;1373;1350;1370;1346;1354;1415;1035;1180;1287;1313
E09000019;Islington;385;386;387;382;380;378;386;378;373;373;367;344;335;336;331;322;312;304;301;291;285;289;287;286;282;274;276;217;244;250;251
E09000020;Kensington and Chelsea;459;464;468;468;467;464;468;458;458;457;436;428;423;429;405;394;393;392;392;367;362;374;371;370;362;376;383;300;326;340;342
E09000021;Kingston upon Thames;852;862;850;867;863;871;877;883;869;867;865;868;868;835;856;844;861;903;828;817;814;808;803;809;798;794;817;641;744;754;768
E09000022;Lambeth;739;743;745;753;745;740;759;739;733;723;689;663;644;642;640;620;598;578;573;556;544;552;549;555;558;541;550;439;501;515;520
E09000023;Lewisham;700;705;706;713;709;713;721;716;715;713;699;671;658;654;649;636;623;606;610;597;583;589;591;598;596;575;588;469;533;529;532
E09000024;Merton;555;562;556;565;563;565;572;576;583;579;562;565;565;569;566;564;560;550;538;533;529;525;520;515;509;516;528;415;476;490;497
E09000025;Newham;682;684;684;694;710;705;739;726;715;712;706;709;727;743;753;749;780;758;722;696;653;694;704;707;729;731;726;604;628;661;674
E09000026;Redbridge;793;804;794;792;799;793;846;855;875;867;852;858;903;911;908;890;898;909;959;935;934;948;934;938;942;955;952;799;866;920;895
E09000027;Richmond upon Thames;764;773;762;769;772;773;784;774;778;785;773;772;762;755;753;744;737;713;703;716;709;707;703;701;702;685;704;550;623;637;648
E09000028;Southwark;685;689;692;690;692;689;705;690;693;688;655;635;624;632;623;598;589;570;565;536;523;530;537;532;524;509;521;422;483;490;494
E09000029;Sutton;600;607;604;602;605;607;621;617;627;635;629;621;628;619;634;604;605;582;579;577;576;584;582;587;582;568;585;480;546;580;582
E09000030;Tower Hamlets;709;712;712;709;717;711;715;741;733;741;734;720;706;729;734;712;721;735;692;655;653;633;625;635;642;640;643;525;573;586;594
E09000031;Waltham Forest;583;590;581;586;581;575;596;606;630;627;628;611;639;620;608;596;596;617;573;575;596;650;608;610;613;652;643;542;588;592;602
E09000032;Wandsworth;827;830;831;834;842;839;856;833;833;814;788;764;740;661;690;674;647;660;627;615;597;582;586;572;593;589;607;483;534;537;536
E09000033;Westminster;828;838;847;833;823;836;836;819;790;768;727;746;734;721;693;668;651;638;628;609;595;617;631;620;608;598;581;436;468;479;484
