code;Area;PLGCars:Company;PLGCars:Private;PLGOther:Company;PLGOther:Private;PLGTotal;ExemptDisabled:Cars;ExemptDisabled:Other
00AA;CityofLondon;928;1337;350;43;2658;64;8
00AB;BarkingandDagenham;1575;58740;2789;3783;66887;2517;271
00AC;Barnet;5090;132590;4382;5641;147703;3172;134
00AD;Bexley;2552;99700;4690;6230;113172;2979;245
00AE;Brent;5185;83919;5190;4150;98444;2798;71
00AF;Bromley;3681;141088;4638;7739;157146;2867;251
00AG;Camden;5278;38105;2939;1459;47781;1521;100
00AH;Croydon;3658;132304;5031;7191;148184;3723;246
00AJ;Ealing;6348;105666;5352;5306;122672;3154;151
00AK;Enfield;3039;112614;5434;6787;127874;3492;177
00AL;Greenwich;1478;72952;2432;3855;80717;3103;284
00AM;Hackney;1029;38036;1568;2208;42841;2256;101
00AN;HammersmithandFulham;2661;38525;1304;1362;43852;1236;143
00AP;Haringey;1215;58114;2296;3256;64881;2217;114
00AQ;Harrow;2269;95689;2445;3846;104249;2072;106
00AR;Havering;2787;108268;5180;8451;124686;3116;268
00AS;Hillingdon;15092;117480;8867;6599;148038;2856;209
00AT;Hounslow;3453;90401;3516;4607;101977;2553;190
00AU;Islington;1285;32165;1553;1724;36727;1944;146
00AW;KensingtonandChelsea;1625;37695;800;1127;41247;867;67
00AX;KingstonuponThames;1236;63188;2976;3013;70413;1032;154
00AY;Lambeth;1533;60332;2173;2905;66943;2103;139
00AZ;Lewisham;1357;72714;1911;4015;79997;2743;195
00BA;Merton;3396;66817;3121;3477;76811;1501;1768
00BB;Newham;2429;64008;2529;3223;72189;3299;170
00BC;Redbridge;2592;99064;2782;5101;109539;3034;135
00BD;RichmonduponThames;1284;74267;1399;2754;79704;1018;127
00BE;Southwark;1566;53014;2361;2780;59721;2574;209
00BF;Sutton;1752;83122;3485;5456;93815;1766;131
00BG;TowerHamlets;2205;39295;3019;2175;46694;2026;124
00BH;WalthamForest;2284;73482;2635;4597;82998;2580;107
00BJ;Wandsworth;1886;75351;2834;2789;82860;1868;121
00BK;Westminster;6338;41662;2196;1409;51605;1698;686
;UnknownBorough;50;441;72;27;590;45;5
;;;;;;;;
H;London;100136;2462145;104249;129085;2795615;75794;7353
